epoch,physbias_w_norm_layer0,physbias_w_norm_layer1,physbias_w_norm_layer2,physbias_w_norm_layer3
1,0.0697537213563919,0.022205494344234467,0.033103279769420624,0.017817378044128418
2,0.11762571334838867,0.05067127197980881,0.06244705989956856,0.03498213738203049
3,0.1578577160835266,0.07853858917951584,0.08391142636537552,0.053817544132471085
4,0.1905231475830078,0.1067323237657547,0.0972628965973854,0.08371160179376602
5,0.24846385419368744,0.13197290897369385,0.11325579136610031,0.11367740482091904
6,0.3373240530490875,0.17067472636699677,0.14455203711986542,0.17744436860084534
7,0.47929349541664124,0.2377108335494995,0.271884560585022,0.29744088649749756
8,0.5506928563117981,0.29009562730789185,0.3447451889514923,0.3430047631263733
9,0.6353486776351929,0.31331995129585266,0.363363653421402,0.37153884768486023
10,0.6935782432556152,0.33158111572265625,0.3828948140144348,0.3955458402633667
11,0.763401448726654,0.3857218623161316,0.41770198941230774,0.4652692973613739
12,0.8711891174316406,0.45102348923683167,0.5155268907546997,0.5741298198699951
13,0.9978492856025696,0.5619559288024902,0.5870807766914368,0.7555478811264038
14,1.150968313217163,0.7674243450164795,0.701776921749115,1.0416065454483032
15,1.3482398986816406,1.0172830820083618,1.0395222902297974,1.27633535861969
16,1.6555793285369873,1.3177152872085571,1.2660386562347412,1.325310230255127
17,2.080632209777832,1.5310083627700806,1.4863651990890503,1.4025518894195557
18,2.515641212463379,1.8607652187347412,1.8157511949539185,1.4830020666122437
19,2.7866411209106445,2.220033884048462,1.967712640762329,1.3941789865493774
20,3.133108139038086,2.49843430519104,2.1448912620544434,1.447424292564392
21,3.580728530883789,3.0820071697235107,2.28409743309021,1.560260534286499
22,3.9954752922058105,3.696831464767456,2.409381866455078,1.7365798950195312
23,4.301183700561523,3.925187826156616,2.4897096157073975,1.6976196765899658
24,4.524443626403809,4.45977258682251,2.8918211460113525,1.8236868381500244
25,4.846515655517578,4.936097145080566,3.2602503299713135,1.9600825309753418
26,5.028816223144531,5.553869724273682,4.129146575927734,2.1558310985565186
27,5.200287818908691,6.2080841064453125,4.747191905975342,2.142551898956299
28,5.372282028198242,6.696244716644287,5.251416206359863,2.128614902496338
29,5.630474090576172,6.921589374542236,5.3617329597473145,2.1361021995544434
30,5.859151840209961,7.310366630554199,5.72556734085083,2.1082968711853027
31,6.091860294342041,7.583391189575195,5.90836238861084,2.1782357692718506
32,6.334022521972656,8.014629364013672,5.948437690734863,2.1334385871887207
33,6.524037837982178,8.44711971282959,6.084596633911133,2.169358730316162
34,6.804096698760986,8.783427238464355,6.478233337402344,2.2077646255493164
35,7.042022228240967,8.91550064086914,6.744053363800049,2.2327866554260254
36,7.165656089782715,9.205975532531738,6.930983066558838,2.1607537269592285
37,7.321318626403809,9.362205505371094,7.2179460525512695,2.1536524295806885
38,7.444637775421143,9.511962890625,7.503231048583984,2.174211025238037
39,7.656771183013916,9.74178695678711,7.564124584197998,2.201728582382202
40,7.677899360656738,9.920469284057617,7.702932834625244,2.259134292602539
41,7.877912521362305,9.9674654006958,7.9091949462890625,2.2399442195892334
42,8.024027824401855,9.992982864379883,8.02625560760498,2.187272548675537
43,8.123697280883789,10.037320137023926,8.069380760192871,2.258650064468384
44,8.223323822021484,10.019547462463379,8.239920616149902,2.2948341369628906
45,8.323925018310547,10.163263320922852,8.241823196411133,2.326808214187622
46,8.403549194335938,10.20789909362793,8.343647003173828,2.3529603481292725
47,8.522170066833496,10.274660110473633,8.40662956237793,2.396703004837036
48,8.557318687438965,10.285259246826172,8.479533195495605,2.4115731716156006
49,8.655621528625488,10.347004890441895,8.518701553344727,2.3975155353546143
50,8.7041654586792,10.358723640441895,8.54749584197998,2.3906171321868896
51,8.761316299438477,10.431160926818848,8.612098693847656,2.392300844192505
52,8.835786819458008,10.439019203186035,8.750875473022461,2.4056589603424072
53,8.866670608520508,10.568192481994629,8.749947547912598,2.414085626602173
54,8.951210021972656,10.61700439453125,8.880891799926758,2.363438606262207
55,9.020028114318848,10.63093090057373,8.963156700134277,2.4251580238342285
56,9.020525932312012,10.680474281311035,8.98560905456543,2.4276862144470215
57,9.061762809753418,10.794750213623047,9.00393009185791,2.486325263977051
58,9.070836067199707,10.917104721069336,9.1232271194458,2.4868407249450684
59,9.130794525146484,10.898744583129883,9.158478736877441,2.512838840484619
60,9.14834976196289,10.885446548461914,9.17007827758789,2.508451223373413
61,9.153374671936035,10.956724166870117,9.231649398803711,2.5121681690216064
62,9.208625793457031,11.001338958740234,9.310641288757324,2.4752330780029297
63,9.216126441955566,11.046394348144531,9.329825401306152,2.5026378631591797
64,9.257224082946777,10.990728378295898,9.328832626342773,2.5232810974121094
65,9.367135047912598,11.108295440673828,9.36078929901123,2.5247504711151123
66,9.527301788330078,11.173776626586914,9.412528038024902,2.5334136486053467
67,9.612668991088867,11.290411949157715,9.434654235839844,2.531106948852539
68,9.594827651977539,11.286479949951172,9.433513641357422,2.530224084854126
69,9.664056777954102,11.297601699829102,9.431869506835938,2.529379367828369
70,9.812736511230469,11.344149589538574,9.463421821594238,2.5344340801239014
71,9.90017318725586,11.450531005859375,9.514681816101074,2.546783447265625
72,10.028120040893555,11.730852127075195,9.568652153015137,2.552386522293091
73,10.063209533691406,11.880694389343262,9.722810745239258,2.6662514209747314
74,10.07959270477295,11.908668518066406,9.72734260559082,2.6298789978027344
75,10.159470558166504,11.945241928100586,9.788591384887695,2.6301493644714355
76,10.116477966308594,12.031595230102539,9.929689407348633,2.672886371612549
77,10.18552303314209,12.038576126098633,10.029150009155273,2.6377692222595215
78,10.221712112426758,12.097785949707031,10.064371109008789,2.619065523147583
79,10.258785247802734,12.200516700744629,10.071831703186035,2.609330415725708
80,10.280641555786133,12.261414527893066,10.082771301269531,2.5138514041900635
81,10.340453147888184,12.244172096252441,10.105220794677734,2.4969611167907715
82,10.337431907653809,12.252245903015137,10.17548942565918,2.5540812015533447
83,10.310911178588867,12.255851745605469,10.268577575683594,2.5627143383026123
84,10.34717082977295,12.323092460632324,10.303182601928711,2.6009271144866943
85,10.362491607666016,12.355644226074219,10.365775108337402,2.6354622840881348
86,10.387517929077148,12.411299705505371,10.459443092346191,2.6485438346862793
87,10.400057792663574,12.418595314025879,10.470378875732422,2.6836869716644287
88,10.391118049621582,12.469443321228027,10.493597984313965,2.6952710151672363
89,10.423645973205566,12.47757625579834,10.504386901855469,2.7365763187408447
90,10.587152481079102,12.554085731506348,10.611212730407715,2.7532553672790527
91,10.605006217956543,12.536651611328125,10.655157089233398,2.7551181316375732
92,10.655667304992676,12.60969352722168,10.719817161560059,2.743140935897827
93,10.644766807556152,12.665475845336914,10.709795951843262,2.6497576236724854
94,10.628231048583984,12.721773147583008,10.678146362304688,2.702871322631836
95,10.683016777038574,12.872676849365234,10.693589210510254,2.732835054397583
96,10.700849533081055,12.903497695922852,10.743550300598145,2.737239360809326
97,10.724794387817383,12.932573318481445,10.754405975341797,2.7524704933166504
98,10.711823463439941,12.963887214660645,10.744852066040039,2.74778413772583
99,10.72787094116211,12.976354598999023,10.778539657592773,2.773560047149658
100,10.713383674621582,13.001330375671387,10.81784439086914,2.805158853530884
101,10.74288558959961,13.030832290649414,10.844247817993164,2.790518045425415
102,10.745238304138184,13.022607803344727,10.842233657836914,2.8117997646331787
103,10.766500473022461,13.035650253295898,10.842260360717773,2.8057284355163574
104,10.792945861816406,13.050332069396973,10.847358703613281,2.79971981048584
105,10.798429489135742,13.059857368469238,10.848552703857422,2.8043596744537354
106,10.805157661437988,13.066272735595703,10.876834869384766,2.800172805786133
107,10.810413360595703,13.087315559387207,10.885300636291504,2.784484624862671
108,10.828652381896973,13.092530250549316,10.897367477416992,2.7961361408233643
109,10.861357688903809,13.099592208862305,10.907896995544434,2.7821807861328125
110,10.855313301086426,13.110405921936035,10.92188835144043,2.794661283493042
111,10.877667427062988,13.12463092803955,10.956140518188477,2.810706615447998
112,10.874274253845215,13.130363464355469,10.965046882629395,2.810131072998047
113,10.881524085998535,13.141075134277344,10.953843116760254,2.7953553199768066
114,10.890548706054688,13.149666786193848,10.939913749694824,2.8084018230438232
115,10.900808334350586,13.14146900177002,10.947649955749512,2.8028252124786377
116,10.914384841918945,13.151690483093262,10.946308135986328,2.8030343055725098
117,10.917880058288574,13.156089782714844,10.953997611999512,2.7950053215026855
118,10.919170379638672,13.134954452514648,10.955294609069824,2.7991943359375
119,10.918465614318848,13.140201568603516,10.97335147857666,2.7710487842559814
120,10.923933029174805,13.16450309753418,10.97053337097168,2.7710635662078857
121,10.929540634155273,13.165692329406738,10.97558307647705,2.7760674953460693
122,10.941824913024902,13.168548583984375,11.001469612121582,2.768852949142456
123,10.951104164123535,13.170624732971191,11.004302024841309,2.7673394680023193
124,10.948968887329102,13.171363830566406,11.007123947143555,2.773120641708374
125,10.948053359985352,13.183079719543457,11.001398086547852,2.783928394317627
126,10.951578140258789,13.163980484008789,11.008796691894531,2.7743678092956543
127,10.951872825622559,13.174498558044434,11.026410102844238,2.7678356170654297
128,10.957448959350586,13.19131088256836,11.03032398223877,2.7584826946258545
129,10.94936752319336,13.1973876953125,11.043503761291504,2.759624719619751
130,10.946405410766602,13.194435119628906,11.058004379272461,2.761096477508545
131,10.945760726928711,13.192630767822266,11.046891212463379,2.7539825439453125
132,10.958109855651855,13.187758445739746,11.043933868408203,2.752854585647583
133,10.957754135131836,13.191349029541016,11.051786422729492,2.757636785507202
134,10.949003219604492,13.196392059326172,11.054791450500488,2.745183229446411
135,10.958563804626465,13.20866870880127,11.074115753173828,2.736945390701294
136,10.96985149383545,13.212878227233887,11.081223487854004,2.7413687705993652
137,10.974471092224121,13.224740028381348,11.091368675231934,2.751194477081299
138,10.97225570678711,13.228384017944336,11.087682723999023,2.742051839828491
139,10.970033645629883,13.228779792785645,11.074553489685059,2.730060577392578
140,10.967500686645508,13.231745719909668,11.082869529724121,2.720311164855957
141,10.973371505737305,13.24243450164795,11.090127944946289,2.7339460849761963
142,10.970900535583496,13.255133628845215,11.093558311462402,2.7431650161743164
143,10.970436096191406,13.259172439575195,11.096415519714355,2.7368149757385254
144,10.975522994995117,13.258790016174316,11.105453491210938,2.7412960529327393
145,10.9672212600708,13.253426551818848,11.087051391601562,2.751992702484131
146,10.967822074890137,13.254010200500488,11.082025527954102,2.749163866043091
147,10.972502708435059,13.256489753723145,11.091842651367188,2.7407708168029785
148,10.976762771606445,13.265599250793457,11.098323822021484,2.738719940185547
149,10.97452163696289,13.26754093170166,11.105308532714844,2.7419843673706055
150,10.974363327026367,13.271698951721191,11.106463432312012,2.7419233322143555
151,10.98023509979248,13.274913787841797,11.109824180603027,2.7393951416015625
152,10.984280586242676,13.275827407836914,11.11452865600586,2.7369611263275146
153,10.992335319519043,13.285882949829102,11.110910415649414,2.747183084487915
154,10.99207878112793,13.284257888793945,11.115564346313477,2.7450106143951416
155,10.992415428161621,13.290901184082031,11.109477996826172,2.74710750579834
156,10.995475769042969,13.290167808532715,11.108820915222168,2.7401115894317627
157,10.993917465209961,13.296120643615723,11.110140800476074,2.730849266052246
158,10.99295711517334,13.299521446228027,11.114226341247559,2.7309887409210205
159,10.992210388183594,13.299958229064941,11.112152099609375,2.7297587394714355
160,10.991467475891113,13.300834655761719,11.112035751342773,2.727823257446289
161,10.991067886352539,13.307394027709961,11.104212760925293,2.7116358280181885
162,10.988526344299316,13.309366226196289,11.099237442016602,2.7076222896575928
163,10.989745140075684,13.30769157409668,11.099996566772461,2.7111682891845703
164,10.990212440490723,13.304994583129883,11.10233211517334,2.7159006595611572
165,10.988262176513672,13.309829711914062,11.098264694213867,2.714151382446289
166,10.990221977233887,13.307818412780762,11.09209156036377,2.7150521278381348
167,10.989858627319336,13.309146881103516,11.085796356201172,2.7139337062835693
168,10.990653038024902,13.307437896728516,11.089738845825195,2.709810972213745
169,10.99055004119873,13.310090065002441,11.09201431274414,2.70831036567688
170,10.992789268493652,13.309361457824707,11.09227180480957,2.7136600017547607
171,10.992262840270996,13.310526847839355,11.092808723449707,2.709465742111206
172,10.99341106414795,13.309521675109863,11.094651222229004,2.709306478500366
173,10.995701789855957,13.310001373291016,11.093070983886719,2.7087552547454834
174,10.996065139770508,13.31071949005127,11.091253280639648,2.7110342979431152
175,10.996725082397461,13.311546325683594,11.090730667114258,2.710688352584839
176,10.996766090393066,13.311580657958984,11.090035438537598,2.709974527359009
177,10.996495246887207,13.310937881469727,11.089021682739258,2.7071597576141357
178,10.997998237609863,13.310678482055664,11.088092803955078,2.706984281539917
179,10.997851371765137,13.312385559082031,11.08930492401123,2.706345796585083
180,11.000019073486328,13.312651634216309,11.086567878723145,2.7029826641082764
181,11.000479698181152,13.312821388244629,11.085206985473633,2.703098773956299
182,11.001103401184082,13.311868667602539,11.085929870605469,2.7019784450531006
183,11.000157356262207,13.312333106994629,11.086398124694824,2.7010161876678467
184,10.99884033203125,13.313162803649902,11.083758354187012,2.7007651329040527
185,10.998665809631348,13.313180923461914,11.083539962768555,2.69911527633667
186,10.999401092529297,13.313636779785156,11.08470344543457,2.6984548568725586
187,10.99860954284668,13.314412117004395,11.083267211914062,2.699388265609741
188,10.999110221862793,13.31381607055664,11.08301067352295,2.6991310119628906
189,10.999267578125,13.313100814819336,11.082110404968262,2.697824239730835
190,11.000114440917969,13.312572479248047,11.081714630126953,2.6977884769439697
191,10.999673843383789,13.312922477722168,11.082320213317871,2.697920799255371
192,10.999655723571777,13.312790870666504,11.082098960876465,2.698154926300049
193,10.998944282531738,13.31244945526123,11.081470489501953,2.6983835697174072
194,10.999159812927246,13.312472343444824,11.081270217895508,2.69728684425354
195,10.999518394470215,13.31320571899414,11.08116340637207,2.696579933166504
196,10.999686241149902,13.313032150268555,11.081151962280273,2.696960210800171
197,10.999500274658203,13.31334400177002,11.081146240234375,2.697751045227051
198,10.999409675598145,13.313617706298828,11.081181526184082,2.698044776916504
199,10.999568939208984,13.313677787780762,11.081377029418945,2.6980297565460205
200,10.99946117401123,13.313814163208008,11.080864906311035,2.6977756023406982
