epoch,gamma_psg,alpha_pgia_layer0,alpha_pgia_layer1,alpha_pgia_layer2
1,0.0,-0.023492805659770966,-0.037988368421792984,-0.02926410734653473
2,0.0,-0.06609196960926056,-0.04103849083185196,-0.04646353796124458
3,0.0,-0.08402974158525467,-0.04380856826901436,-0.04935760796070099
4,0.0,-0.09080486744642258,-0.04476306214928627,-0.05037129670381546
5,0.0,-0.09449765831232071,-0.045264143496751785,-0.05122315138578415
6,0.0,-0.09656491875648499,-0.04547940194606781,-0.05270737409591675
7,0.0,-0.09822814166545868,-0.04566268250346184,-0.054809149354696274
8,0.0,-0.09949968010187149,-0.04577318951487541,-0.0572173111140728
9,0.0,-0.10055368393659592,-0.04585234448313713,-0.05998408794403076
10,0.0,-0.10139385610818863,-0.04589039087295532,-0.06293299794197083
11,0.0,-0.10230289399623871,-0.04596215859055519,-0.06790053844451904
12,0.0,-0.10323800146579742,-0.04612794890999794,-0.07246973365545273
13,0.0,-0.10417577624320984,-0.04622175544500351,-0.07708432525396347
14,0.0,-0.10463621467351913,-0.046164222061634064,-0.08319134265184402
15,0.0,-0.1055738627910614,-0.04627500846982002,-0.0869934931397438
16,0.0,-0.10634000599384308,-0.04627750813961029,-0.09182850271463394
17,0.0,-0.10719647258520126,-0.04628126695752144,-0.09656749665737152
18,0.0,-0.10802443325519562,-0.04638643190264702,-0.10122976452112198
19,0.0,-0.1083734929561615,-0.04629622399806976,-0.10593301802873611
20,0.0,-0.10952447354793549,-0.04640670120716095,-0.10891687870025635
21,0.0,-0.11025526374578476,-0.04652547836303711,-0.11268112808465958
22,0.0,-0.110629603266716,-0.04648405686020851,-0.11063310503959656
23,0.0,-0.11168812215328217,-0.04651755839586258,-0.11166346073150635
24,0.0,-0.11224927753210068,-0.046468865126371384,-0.1146128699183464
25,0.0,-0.11297180503606796,-0.04655572399497032,-0.1213340014219284
26,0.0,-0.11367335170507431,-0.04654858261346817,-0.12701433897018433
27,0.0,-0.11435253918170929,-0.04658360034227371,-0.1333569437265396
28,0.0,-0.11501050740480423,-0.0465315617620945,-0.13262329995632172
29,0.0,-0.11555807292461395,-0.046578291803598404,-0.12821874022483826
30,0.0,-0.11580897122621536,-0.04635687172412872,-0.143811896443367
31,0.0,-0.11677553504705429,-0.0467006117105484,-0.1488446295261383
32,0.0,-0.11748068779706955,-0.046869903802871704,-0.14651884138584137
33,0.0,-0.11809837073087692,-0.04713611677289009,-0.15788131952285767
34,0.0,-0.11517275869846344,-0.04748564586043358,-0.16627895832061768
35,0.0,-0.11756924539804459,-0.04737461730837822,-0.16739271581172943
36,0.0,-0.11900962889194489,-0.04724655672907829,-0.16179153323173523
37,0.0,-0.12094690650701523,-0.04737331345677376,-0.1664489060640335
38,0.0,-0.12274788320064545,-0.04739317297935486,-0.1674148291349411
39,0.0,-0.12547500431537628,-0.04795851185917854,-0.1796848624944687
40,0.0,-0.12861624360084534,-0.04796444997191429,-0.18730494379997253
41,0.0,-0.13035424053668976,-0.0484103262424469,-0.2022913247346878
42,0.0,-0.13205105066299438,-0.048940178006887436,-0.21011963486671448
43,0.0,-0.13337408006191254,-0.049039822071790695,-0.23144370317459106
44,0.0,-0.13551874458789825,-0.049046993255615234,-0.2682133615016937
45,0.0,-0.13842304050922394,-0.04862522706389427,-0.30132731795310974
46,0.0,-0.1412235051393509,-0.04931720346212387,-0.3388994634151459
47,0.0,-0.1433509737253189,-0.04958502575755119,-0.3900168538093567
48,0.0,-0.1456446498632431,-0.05021827667951584,-0.47413530945777893
49,0.0,-0.15119779109954834,-0.0507408045232296,-0.5208532810211182
50,0.0,-0.15509247779846191,-0.050941817462444305,-0.5749263167381287
51,0.0,-0.1605842113494873,-0.051655422896146774,-0.6184945106506348
52,0.0,-0.16507220268249512,-0.05209950730204582,-0.6874341368675232
53,0.0,-0.17055156826972961,-0.053116608411073685,-0.7926661968231201
54,0.0,-0.17639495432376862,-0.05475577712059021,-0.9092593789100647
55,0.0,-0.18648329377174377,-0.055874474346637726,-1.0065208673477173
56,0.0,-0.1956838220357895,-0.054347291588783264,-1.0433847904205322
57,0.0,-0.20386293530464172,-0.05470113083720207,-1.2239106893539429
58,0.0,-0.2150280624628067,-0.05654009431600571,-1.2993539571762085
59,0.0,-0.23119433224201202,-0.057396020740270615,-1.366817593574524
60,0.0,-0.24163195490837097,-0.05488944798707962,-1.4581180810928345
61,0.0,-0.24257628619670868,-0.055119581520557404,-1.4951348304748535
62,0.0,-0.27025580406188965,-0.056365326046943665,-1.5261178016662598
63,0.0,-0.2946668863296509,-0.0640341192483902,-1.5660851001739502
64,0.0,-0.31417593359947205,-0.06584712862968445,-1.5940221548080444
65,0.0,-0.3341723084449768,-0.06885886192321777,-1.6473952531814575
66,0.0,-0.35763832926750183,-0.07324746996164322,-1.685761570930481
67,0.0,-0.371516615152359,-0.07325193285942078,-1.7104421854019165
68,0.0,-0.3850524425506592,-0.08292488753795624,-1.7511929273605347
69,0.0,-0.4122154414653778,-0.08868935704231262,-1.7786263227462769
70,0.0,-0.4239201843738556,-0.09287259727716446,-1.8280839920043945
71,0.0,-0.4447459280490875,-0.10384204983711243,-1.839575171470642
72,0.0,-0.5004810690879822,-0.11464390158653259,-1.8526294231414795
73,0.0,-0.5140278339385986,-0.12557584047317505,-1.862058401107788
74,0.0,-0.550213098526001,-0.18585717678070068,-1.8986773490905762
75,0.0,-0.5902149677276611,-0.2640869915485382,-1.904556155204773
76,0.0,-0.617101788520813,-0.2807174026966095,-1.9151357412338257
77,0.0,-0.6483504772186279,-0.34769871830940247,-1.9240425825119019
78,0.0,-0.6953043341636658,-0.38561999797821045,-1.9308576583862305
79,0.0,-0.727080762386322,-0.43435418605804443,-1.9561935663223267
80,0.0,-0.7578867673873901,-0.4962058365345001,-1.960235834121704
81,0.0,-0.8432363867759705,-0.5806797742843628,-1.956081509590149
82,0.0,-0.8848897218704224,-0.6487095355987549,-1.9858834743499756
83,0.0,-0.9284449219703674,-0.8142203092575073,-1.9959887266159058
84,0.0,-0.9663761258125305,-0.9763829112052917,-1.9986393451690674
85,0.0,-0.9823418259620667,-1.1076135635375977,-2.0116126537323
86,0.0,-1.0389155149459839,-1.155867576599121,-2.021977186203003
87,0.0,-1.06783926486969,-1.2260626554489136,-2.036872625350952
88,0.0,-1.1136062145233154,-1.3005127906799316,-2.052011251449585
89,0.0,-1.165231466293335,-1.3400324583053589,-2.0708210468292236
90,0.0,-1.1746242046356201,-1.394203782081604,-2.0453221797943115
91,0.0,-1.213061809539795,-1.4272557497024536,-2.0485706329345703
92,0.0,-1.2547948360443115,-1.4641749858856201,-2.049342632293701
93,0.0,-1.2662907838821411,-1.4697601795196533,-2.061048984527588
94,0.0,-1.2976980209350586,-1.4740509986877441,-2.0479795932769775
95,0.0,-1.3232227563858032,-1.4708195924758911,-2.0620501041412354
96,0.0,-1.3577386140823364,-1.4553927183151245,-2.0697262287139893
97,0.0,-1.3991738557815552,-1.4634515047073364,-2.089430570602417
98,0.0,-1.415647029876709,-1.5052188634872437,-2.118487596511841
99,0.0,-1.4567720890045166,-1.5127218961715698,-2.1243364810943604
100,0.0,-1.4833273887634277,-1.516454815864563,-2.1311748027801514
